FewShotClassifier,Way,Shot,Query,Accuracy,Threshold,Average,Std
PrototypicalNetworksNovelty,6,1,6,0.6794444444444444,0.6072049233961694,0.7109962329938582,0.05189565479884438
PrototypicalNetworksNovelty,6,2,6,0.7755555555555556,0.668173766891671,0.7584932981469912,0.0451597656276601
PrototypicalNetworksNovelty,6,3,6,0.8016666666666666,0.6912367031509771,0.7813204284434672,0.045041862646245046
PrototypicalNetworksNovelty,6,4,6,0.8477777777777777,0.7018233885898918,0.7907941654656536,0.04448538843788089
PrototypicalNetworksNovelty,6,5,6,0.8644444444444445,0.7189174578723299,0.80043279783738,0.04075766998252508
PrototypicalNetworksNovelty,6,6,6,0.89,0.7200162682342383,0.8025641775458642,0.04127395465581297
PrototypicalNetworksNovelty,6,7,6,0.8955555555555555,0.7232591960566317,0.8072233951786907,0.0419820995610295
PrototypicalNetworksNovelty,6,8,6,0.8961111111111111,0.7277643619429627,0.8090871713653678,0.04066140471120256
PrototypicalNetworksNovelty,6,9,6,0.9027777777777778,0.7301724273527406,0.810813449052664,0.0403205108499617
PrototypicalNetworksNovelty,6,10,6,0.9061111111111111,0.7327832180415315,0.8147003874319745,0.0409585846952215
