
FewShotClassifier,Way,Shot,Query,Accuracy,Threshold,Average,Std
PrototypicalNetworksNovelty,5,1,6,0.6841666666666667,0.5955268221357761,0.7085915781403285,0.05653237800227616
PrototypicalNetworksNovelty,5,2,6,0.8158333333333333,0.6641532740126619,0.7595795519018319,0.04771313894458498
PrototypicalNetworksNovelty,5,3,6,0.8566666666666667,0.6890617269752538,0.7773055718914544,0.044121922458100336
PrototypicalNetworksNovelty,5,4,6,0.8758333333333334,0.7025285054517554,0.7893128034957356,0.04339214902199011
PrototypicalNetworksNovelty,5,5,6,0.8975,0.714130574634237,0.7983800979709891,0.04212476166837605
PrototypicalNetworksNovelty,5,6,6,0.9175,0.7227783346630965,0.8007642659785854,0.03899296565774447
PrototypicalNetworksNovelty,5,7,6,0.9016666666666666,0.7231838291611111,0.8081639269143067,0.042490048876597804
PrototypicalNetworksNovelty,5,8,6,0.8941666666666667,0.7287363149507449,0.8095398589704821,0.040401772009868615
PrototypicalNetworksNovelty,5,9,6,0.9291666666666667,0.7325436389669522,0.811724459162742,0.03959041009789496
PrototypicalNetworksNovelty,5,10,6,0.9208333333333333,0.7286520208847553,0.8101430240799399,0.04074550159759228
