Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet18,Prototypical,5,1,6,0.652,bayes,0.6101439366850695
resnet18,Finetune,5,1,6,0.6703333333333333,bayes,0.6101439366850695
resnet18,BD-CSPN,5,1,6,0.7006666666666667,bayes,0.6101439366850695
resnet18,TIM,5,1,6,0.6441666666666667,bayes,0.6101439366850695
resnet18,Prototypical,5,5,6,0.8653333333333333,bayes,0.668263770190571
resnet18,Finetune,5,5,6,0.8585,bayes,0.668263770190571
resnet18,BD-CSPN,5,5,6,0.8768333333333334,bayes,0.668263770190571
resnet18,TIM,5,5,6,0.8638333333333333,bayes,0.668263770190571
resnet34,Prototypical,5,1,6,0.6835,bayes,0.6132192191288716
resnet34,Finetune,5,1,6,0.679,bayes,0.6132192191288716
resnet34,BD-CSPN,5,1,6,0.7338333333333333,bayes,0.6132192191288716
resnet34,TIM,5,1,6,0.6723333333333333,bayes,0.6132192191288716
resnet34,Prototypical,5,5,6,0.894,bayes,0.6702484608050506
resnet34,Finetune,5,5,6,0.8833333333333333,bayes,0.6702484608050506
resnet34,BD-CSPN,5,5,6,0.8986666666666666,bayes,0.6702484608050506
resnet34,TIM,5,5,6,0.8878333333333334,bayes,0.6702484608050506
resnet50,Prototypical,5,1,6,0.6611666666666667,bayes,0.6626325430899636
resnet50,Finetune,5,1,6,0.6596666666666666,bayes,0.6626325430899636
resnet50,BD-CSPN,5,1,6,0.6906666666666667,bayes,0.6626325430899636
resnet50,TIM,5,1,6,0.6603333333333333,bayes,0.6626325430899636
resnet50,Prototypical,5,5,6,0.8791666666666667,bayes,0.7130727313460853
resnet50,Finetune,5,5,6,0.8708333333333333,bayes,0.7130727313460853
resnet50,BD-CSPN,5,5,6,0.8845,bayes,0.7130727313460853
resnet50,TIM,5,5,6,0.8696666666666667,bayes,0.7130727313460853
