Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet18,Prototypical,6,1,6,0.5519444444444445,bayes,0.6101439366850695
resnet18,Finetune,6,1,6,0.5683333333333334,bayes,0.6101439366850695
resnet18,BD-CSPN,6,1,6,0.5709722222222222,bayes,0.6101439366850695
resnet18,TIM,6,1,6,0.5601388888888889,bayes,0.6101439366850695
resnet18,Prototypical,6,1,6,0.5519444444444445,std,0.6014419297298161
resnet18,Finetune,6,1,6,0.5675,std,0.6014419297298161
resnet18,BD-CSPN,6,1,6,0.5691666666666667,std,0.6014419297298161
resnet18,TIM,6,1,6,0.5583333333333333,std,0.6014419297298161
resnet18,Prototypical,6,5,6,0.7325,bayes,0.668263770190571
resnet18,Finetune,6,5,6,0.7320833333333333,bayes,0.668263770190571
resnet18,BD-CSPN,6,5,6,0.7393055555555555,bayes,0.668263770190571
resnet18,TIM,6,5,6,0.7194444444444444,bayes,0.668263770190571
resnet18,Prototypical,6,5,6,0.7306944444444444,std,0.661884815127164
resnet18,Finetune,6,5,6,0.7301388888888889,std,0.661884815127164
resnet18,BD-CSPN,6,5,6,0.7372222222222222,std,0.661884815127164
resnet18,TIM,6,5,6,0.7170833333333333,std,0.661884815127164
resnet34,Prototypical,6,1,6,0.5829166666666666,bayes,0.6132192191288716
resnet34,Finetune,6,1,6,0.58625,bayes,0.6132192191288716
resnet34,BD-CSPN,6,1,6,0.5931944444444445,bayes,0.6132192191288716
resnet34,TIM,6,1,6,0.5793055555555555,bayes,0.6132192191288716
resnet34,Prototypical,6,1,6,0.5831944444444445,std,0.604022795422737
resnet34,Finetune,6,1,6,0.5823611111111111,std,0.604022795422737
resnet34,BD-CSPN,6,1,6,0.5923611111111111,std,0.604022795422737
resnet34,TIM,6,1,6,0.5776388888888889,std,0.604022795422737
resnet34,Prototypical,6,5,6,0.7501388888888889,bayes,0.6702484608050506
resnet34,Finetune,6,5,6,0.7516666666666667,bayes,0.6702484608050506
resnet34,BD-CSPN,6,5,6,0.7568055555555555,bayes,0.6702484608050506
resnet34,TIM,6,5,6,0.74375,bayes,0.6702484608050506
resnet34,Prototypical,6,5,6,0.7490277777777777,std,0.6628678502621272
resnet34,Finetune,6,5,6,0.7498611111111111,std,0.6628678502621272
resnet34,BD-CSPN,6,5,6,0.7544444444444445,std,0.6628678502621272
resnet34,TIM,6,5,6,0.7408333333333333,std,0.6628678502621272
resnet50,Prototypical,6,1,6,0.5597222222222222,bayes,0.6626325430899636
resnet50,Finetune,6,1,6,0.5515277777777777,bayes,0.6626325430899636
resnet50,BD-CSPN,6,1,6,0.5719444444444445,bayes,0.6626325430899636
resnet50,TIM,6,1,6,0.5584722222222223,bayes,0.6626325430899636
resnet50,Prototypical,6,1,6,0.56,std,0.6548459326322065
resnet50,Finetune,6,1,6,0.5545833333333333,std,0.6548459326322065
resnet50,BD-CSPN,6,1,6,0.5695833333333333,std,0.6548459326322065
resnet50,TIM,6,1,6,0.5573611111111111,std,0.6548459326322065
resnet50,Prototypical,6,5,6,0.7352777777777778,bayes,0.7130727313460853
resnet50,Finetune,6,5,6,0.7375,bayes,0.7130727313460853
resnet50,BD-CSPN,6,5,6,0.7461111111111111,bayes,0.7130727313460853
resnet50,TIM,6,5,6,0.7263888888888889,bayes,0.7130727313460853
resnet50,Prototypical,6,5,6,0.7358333333333333,std,0.7065979858801152
resnet50,Finetune,6,5,6,0.7375,std,0.7065979858801152
resnet50,BD-CSPN,6,5,6,0.7441666666666666,std,0.7065979858801152
resnet50,TIM,6,5,6,0.7259722222222222,std,0.7065979858801152
