Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet12,Prototypical,6,1,6,0.8688888888888889,bayes,0.654412936932769
resnet12,Finetune,6,1,6,0.875,bayes,0.654412936932769
resnet12,BD-CSPN,6,1,6,0.9193055555555556,bayes,0.654412936932769
resnet12,TIM,6,1,6,0.8711111111111111,bayes,0.654412936932769
resnet12,Prototypical,6,1,6,0.8661111111111112,std,0.6866720828328245
resnet12,Finetune,6,1,6,0.8704166666666666,std,0.6866720828328245
resnet12,BD-CSPN,6,1,6,0.9254166666666667,std,0.6866720828328245
resnet12,TIM,6,1,6,0.8669444444444444,std,0.6866720828328245
resnet12,Prototypical,6,5,6,0.9325,bayes,0.7048959288362311
resnet12,Finetune,6,5,6,0.9286111111111112,bayes,0.7048959288362311
resnet12,BD-CSPN,6,5,6,0.9466666666666667,bayes,0.7048959288362311
resnet12,TIM,6,5,6,0.9366666666666666,bayes,0.7048959288362311
resnet12,Prototypical,6,5,6,0.9291666666666667,std,0.7383591336311995
resnet12,Finetune,6,5,6,0.9272222222222222,std,0.7383591336311995
resnet12,BD-CSPN,6,5,6,0.9468055555555556,std,0.7383591336311995
resnet12,TIM,6,5,6,0.93375,std,0.7383591336311995
