Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet18,Prototypical,5,1,6,0.7613333333333333,bayes,0.6654222287910864
resnet18,Finetune,5,1,6,0.7655,bayes,0.6654222287910864
resnet18,BD-CSPN,5,1,6,0.834,bayes,0.6654222287910864
resnet18,TIM,5,1,6,0.7658333333333334,bayes,0.6654222287910864
resnet18,Prototypical,5,5,6,0.9376666666666666,bayes,0.7135964977400219
resnet18,Finetune,5,5,6,0.9298333333333333,bayes,0.7135964977400219
resnet18,BD-CSPN,5,5,6,0.9465,bayes,0.7135964977400219
resnet18,TIM,5,5,6,0.939,bayes,0.7135964977400219
resnet34,Prototypical,5,1,6,0.7635,bayes,0.6587210695124631
resnet34,Finetune,5,1,6,0.7736666666666666,bayes,0.6587210695124631
resnet34,BD-CSPN,5,1,6,0.8523333333333334,bayes,0.6587210695124631
resnet34,TIM,5,1,6,0.7716666666666666,bayes,0.6587210695124631
resnet34,Prototypical,5,5,6,0.937,bayes,0.7106525338979351
resnet34,Finetune,5,5,6,0.9388333333333333,bayes,0.7106525338979351
resnet34,BD-CSPN,5,5,6,0.9528333333333333,bayes,0.7106525338979351
resnet34,TIM,5,5,6,0.9428333333333333,bayes,0.7106525338979351
resnet50,Prototypical,5,1,6,0.7893333333333333,bayes,0.7069376216406228
resnet50,Finetune,5,1,6,0.7908333333333334,bayes,0.7069376216406228
resnet50,BD-CSPN,5,1,6,0.8631666666666666,bayes,0.7069376216406228
resnet50,TIM,5,1,6,0.7835,bayes,0.7069376216406228
resnet50,Prototypical,5,5,6,0.9446666666666667,bayes,0.7495232144335582
resnet50,Finetune,5,5,6,0.9431666666666667,bayes,0.7495232144335582
resnet50,BD-CSPN,5,5,6,0.9563333333333334,bayes,0.7495232144335582
resnet50,TIM,5,5,6,0.9465,bayes,0.7495232144335582
