Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet18,Prototypical,6,1,6,0.6383333333333333,bayes,0.6654222287910864
resnet18,Finetune,6,1,6,0.6330555555555556,bayes,0.6654222287910864
resnet18,BD-CSPN,6,1,6,0.6845833333333333,bayes,0.6654222287910864
resnet18,TIM,6,1,6,0.6372222222222222,bayes,0.6654222287910864
resnet18,Prototypical,6,1,6,0.6340277777777777,std,0.6549732267224113
resnet18,Finetune,6,1,6,0.6297222222222222,std,0.6549732267224113
resnet18,BD-CSPN,6,1,6,0.6831944444444444,std,0.6549732267224113
resnet18,TIM,6,1,6,0.6376388888888889,std,0.6549732267224113
resnet18,Prototypical,6,5,6,0.7776388888888889,bayes,0.7135964977400219
resnet18,Finetune,6,5,6,0.7801388888888889,bayes,0.7135964977400219
resnet18,BD-CSPN,6,5,6,0.7959722222222222,bayes,0.7135964977400219
resnet18,TIM,6,5,6,0.7811111111111111,bayes,0.7135964977400219
resnet18,Prototypical,6,5,6,0.7754166666666666,std,0.707651552656182
resnet18,Finetune,6,5,6,0.7780555555555555,std,0.707651552656182
resnet18,BD-CSPN,6,5,6,0.7940277777777778,std,0.707651552656182
resnet18,TIM,6,5,6,0.77875,std,0.707651552656182
resnet34,Prototypical,6,1,6,0.6365277777777778,bayes,0.6587210695124631
resnet34,Finetune,6,1,6,0.6368055555555555,bayes,0.6587210695124631
resnet34,BD-CSPN,6,1,6,0.6901388888888889,bayes,0.6587210695124631
resnet34,TIM,6,1,6,0.64875,bayes,0.6587210695124631
resnet34,Prototypical,6,1,6,0.6334722222222222,std,0.6479836700608144
resnet34,Finetune,6,1,6,0.635,std,0.6479836700608144
resnet34,BD-CSPN,6,1,6,0.68875,std,0.6479836700608144
resnet34,TIM,6,1,6,0.6465277777777778,std,0.6479836700608144
resnet34,Prototypical,6,5,6,0.7790277777777778,bayes,0.7106525338979351
resnet34,Finetune,6,5,6,0.7947222222222222,bayes,0.7106525338979351
resnet34,BD-CSPN,6,5,6,0.7994444444444444,bayes,0.7106525338979351
resnet34,TIM,6,5,6,0.7856944444444445,bayes,0.7106525338979351
resnet34,Prototypical,6,5,6,0.7786111111111111,std,0.7050621275583606
resnet34,Finetune,6,5,6,0.7926388888888889,std,0.7050621275583606
resnet34,BD-CSPN,6,5,6,0.7973611111111111,std,0.7050621275583606
resnet34,TIM,6,5,6,0.7841666666666667,std,0.7050621275583606
resnet50,Prototypical,6,1,6,0.6594444444444445,bayes,0.7069376216406228
resnet50,Finetune,6,1,6,0.6615277777777778,bayes,0.7069376216406228
resnet50,BD-CSPN,6,1,6,0.6979166666666666,bayes,0.7069376216406228
resnet50,TIM,6,1,6,0.67,bayes,0.7069376216406228
resnet50,Prototypical,6,1,6,0.6588888888888889,std,0.7002931532084467
resnet50,Finetune,6,1,6,0.6568055555555555,std,0.7002931532084467
resnet50,BD-CSPN,6,1,6,0.6973611111111111,std,0.7002931532084467
resnet50,TIM,6,1,6,0.6681944444444444,std,0.7002931532084467
resnet50,Prototypical,6,5,6,0.7940277777777778,bayes,0.7495232144335582
resnet50,Finetune,6,5,6,0.7990277777777778,bayes,0.7495232144335582
resnet50,BD-CSPN,6,5,6,0.8048611111111111,bayes,0.7495232144335582
resnet50,TIM,6,5,6,0.7895833333333333,bayes,0.7495232144335582
resnet50,Prototypical,6,5,6,0.7916666666666666,std,0.7457099494132627
resnet50,Finetune,6,5,6,0.7969444444444445,std,0.7457099494132627
resnet50,BD-CSPN,6,5,6,0.8023611111111111,std,0.7457099494132627
resnet50,TIM,6,5,6,0.7890277777777778,std,0.7457099494132627
