Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet18,Prototypical,5,1,6,0.5443333333333333,bayes,0.6757032049107142
resnet18,Finetune,5,1,6,0.557,bayes,0.6757032049107142
resnet18,BD-CSPN,5,1,6,0.5781666666666667,bayes,0.6757032049107142
resnet18,TIM,5,1,6,0.5725,bayes,0.6757032049107142
resnet18,Prototypical,5,5,6,0.7183333333333334,bayes,0.7303035128963022
resnet18,Finetune,5,5,6,0.7041666666666667,bayes,0.7303035128963022
resnet18,BD-CSPN,5,5,6,0.707,bayes,0.7303035128963022
resnet18,TIM,5,5,6,0.7046666666666667,bayes,0.7303035128963022
resnet34,Prototypical,5,1,6,0.5223333333333333,bayes,0.7248910095654687
resnet34,Finetune,5,1,6,0.5336666666666666,bayes,0.7248910095654687
resnet34,BD-CSPN,5,1,6,0.553,bayes,0.7248910095654687
resnet34,TIM,5,1,6,0.538,bayes,0.7248910095654687
resnet34,Prototypical,5,5,6,0.6791666666666667,bayes,0.7685048516159775
resnet34,Finetune,5,5,6,0.6765,bayes,0.7685048516159775
resnet34,BD-CSPN,5,5,6,0.6708333333333333,bayes,0.7685048516159775
resnet34,TIM,5,5,6,0.6736666666666666,bayes,0.7685048516159775
resnet50,Prototypical,5,1,6,0.49566666666666664,bayes,0.7787724164543427
resnet50,Finetune,5,1,6,0.4935,bayes,0.7787724164543427
resnet50,BD-CSPN,5,1,6,0.5055,bayes,0.7787724164543427
resnet50,TIM,5,1,6,0.5028333333333334,bayes,0.7787724164543427
resnet50,Prototypical,5,5,6,0.6485,bayes,0.8142273946993293
resnet50,Finetune,5,5,6,0.6495,bayes,0.8142273946993293
resnet50,BD-CSPN,5,5,6,0.6378333333333334,bayes,0.8142273946993293
resnet50,TIM,5,5,6,0.6423333333333333,bayes,0.8142273946993293
