Model,FewShotClassifier,Way,Shot,Query,Accuracy,Method,Threshold
resnet18,Prototypical,6,1,6,0.48055555555555557,bayes,0.6757032049107142
resnet18,Finetune,6,1,6,0.49319444444444444,bayes,0.6757032049107142
resnet18,BD-CSPN,6,1,6,0.5104166666666666,bayes,0.6757032049107142
resnet18,TIM,6,1,6,0.4938888888888889,bayes,0.6757032049107142
resnet18,Prototypical,6,1,6,0.4795833333333333,std,0.670694236703933
resnet18,Finetune,6,1,6,0.4926388888888889,std,0.670694236703933
resnet18,BD-CSPN,6,1,6,0.5090277777777777,std,0.670694236703933
resnet18,TIM,6,1,6,0.4926388888888889,std,0.670694236703933
resnet18,Prototypical,6,5,6,0.6040277777777778,bayes,0.7303035128963022
resnet18,Finetune,6,5,6,0.6277777777777778,bayes,0.7303035128963022
resnet18,BD-CSPN,6,5,6,0.6398611111111111,bayes,0.7303035128963022
resnet18,TIM,6,5,6,0.6211111111111111,bayes,0.7303035128963022
resnet18,Prototypical,6,5,6,0.6033333333333334,std,0.7286002870359156
resnet18,Finetune,6,5,6,0.6276388888888889,std,0.7286002870359156
resnet18,BD-CSPN,6,5,6,0.6394444444444445,std,0.7286002870359156
resnet18,TIM,6,5,6,0.6205555555555555,std,0.7286002870359156
resnet34,Prototypical,6,1,6,0.4558333333333333,bayes,0.7248910095654687
resnet34,Finetune,6,1,6,0.4647222222222222,bayes,0.7248910095654687
resnet34,BD-CSPN,6,1,6,0.4777777777777778,bayes,0.7248910095654687
resnet34,TIM,6,1,6,0.4602777777777778,bayes,0.7248910095654687
resnet34,Prototypical,6,1,6,0.4552777777777778,std,0.7232303770102833
resnet34,Finetune,6,1,6,0.46444444444444444,std,0.7232303770102833
resnet34,BD-CSPN,6,1,6,0.4776388888888889,std,0.7232303770102833
resnet34,TIM,6,1,6,0.4601388888888889,std,0.7232303770102833
resnet34,Prototypical,6,5,6,0.5765277777777778,bayes,0.7685048516159775
resnet34,Finetune,6,5,6,0.5861111111111111,bayes,0.7685048516159775
resnet34,BD-CSPN,6,5,6,0.60125,bayes,0.7685048516159775
resnet34,TIM,6,5,6,0.5877777777777777,bayes,0.7685048516159775
resnet34,Prototypical,6,5,6,0.5766666666666667,std,0.7691233981667908
resnet34,Finetune,6,5,6,0.5866666666666667,std,0.7691233981667908
resnet34,BD-CSPN,6,5,6,0.6015277777777778,std,0.7691233981667908
resnet34,TIM,6,5,6,0.5883333333333334,std,0.7691233981667908
resnet50,Prototypical,6,1,6,0.4236111111111111,bayes,0.7787724164543427
resnet50,Finetune,6,1,6,0.4401388888888889,bayes,0.7787724164543427
resnet50,BD-CSPN,6,1,6,0.44513888888888886,bayes,0.7787724164543427
resnet50,TIM,6,1,6,0.43027777777777776,bayes,0.7787724164543427
resnet50,Prototypical,6,1,6,0.42388888888888887,std,0.7778415205343473
resnet50,Finetune,6,1,6,0.43972222222222224,std,0.7778415205343473
resnet50,BD-CSPN,6,1,6,0.4444444444444444,std,0.7778415205343473
resnet50,TIM,6,1,6,0.43027777777777776,std,0.7778415205343473
resnet50,Prototypical,6,5,6,0.5488888888888889,bayes,0.8142273946993293
resnet50,Finetune,6,5,6,0.5606944444444445,bayes,0.8142273946993293
resnet50,BD-CSPN,6,5,6,0.5693055555555555,bayes,0.8142273946993293
resnet50,TIM,6,5,6,0.56,bayes,0.8142273946993293
resnet50,Prototypical,6,5,6,0.5491666666666667,std,0.8146354785007702
resnet50,Finetune,6,5,6,0.5609722222222222,std,0.8146354785007702
resnet50,BD-CSPN,6,5,6,0.5690277777777778,std,0.8146354785007702
resnet50,TIM,6,5,6,0.5601388888888889,std,0.8146354785007702
