Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet18,Prototypical,5,1,6,0.6587333333333333,0.6909843899330997,0.723,0.7066297442580225,2169,970,831,bayes,0.6101439366850695
resnet18,Finetune,5,1,6,0.6558666666666667,0.6965825614819546,0.727,0.7114663187082041,2181,950,819,bayes,0.6101439366850695
resnet18,BD-CSPN,5,1,6,0.7006,0.7648401826484018,0.7816666666666666,0.7731618859215298,2345,721,655,bayes,0.6101439366850695
resnet18,TIM,5,1,6,0.6593333333333333,0.7027027027027027,0.7193333333333334,0.7109207708779443,2158,913,842,bayes,0.6101439366850695
resnet18,Prototypical,5,5,6,0.8631333333333333,0.8948778038165384,0.891,0.8929346918323033,2673,314,327,bayes,0.668263770190571
resnet18,Finetune,5,5,6,0.8608,0.9026548672566371,0.884,0.8932300437857864,2652,286,348,bayes,0.668263770190571
resnet18,BD-CSPN,5,5,6,0.8737333333333334,0.9073319755600815,0.891,0.8990918264379415,2673,273,327,bayes,0.668263770190571
resnet18,TIM,5,5,6,0.8617333333333334,0.8808580858085808,0.8896666666666667,0.885240464344942,2669,361,331,bayes,0.668263770190571
resnet34,Prototypical,5,1,6,0.6809333333333333,0.7228172671210646,0.7423333333333333,0.7324453214931754,2227,854,773,bayes,0.6132192191288716
resnet34,Finetune,5,1,6,0.6764666666666667,0.7218690400508583,0.757,0.7390172469899122,2271,875,729,bayes,0.6132192191288716
resnet34,BD-CSPN,5,1,6,0.7426,0.8005923000987167,0.811,0.8057625434674616,2433,606,567,bayes,0.6132192191288716
resnet34,TIM,5,1,6,0.6829333333333333,0.7257124352331606,0.747,0.7362023653088042,2241,847,759,bayes,0.6132192191288716
resnet34,Prototypical,5,5,6,0.8884666666666666,0.9117549117549117,0.9126666666666666,0.9122105613859737,2738,265,262,bayes,0.6702484608050506
resnet34,Finetune,5,5,6,0.8852,0.911328388401888,0.901,0.9061347636607442,2703,263,297,bayes,0.6702484608050506
resnet34,BD-CSPN,5,5,6,0.8969333333333334,0.9230510752688172,0.9156666666666666,0.9193440428380187,2747,229,253,bayes,0.6702484608050506
resnet34,TIM,5,5,6,0.8878666666666667,0.9044142051111849,0.9083333333333333,0.9063695326791951,2725,288,275,bayes,0.6702484608050506
resnet50,Prototypical,5,1,6,0.6548666666666667,0.6870179948586118,0.7126666666666667,0.699607329842932,2138,974,862,bayes,0.6626325430899636
resnet50,Finetune,5,1,6,0.6542,0.6930022573363431,0.7163333333333334,0.7044746762825767,2149,952,851,bayes,0.6626325430899636
resnet50,BD-CSPN,5,1,6,0.7094666666666667,0.760797342192691,0.7633333333333333,0.762063227953411,2290,720,710,bayes,0.6626325430899636
resnet50,TIM,5,1,6,0.652,0.6929911154985192,0.702,0.6974664679582712,2106,933,894,bayes,0.6626325430899636
resnet50,Prototypical,5,5,6,0.8758,0.9001675041876047,0.8956666666666667,0.8979114452798664,2687,298,313,bayes,0.7130727313460853
resnet50,Finetune,5,5,6,0.8711333333333333,0.901113736078299,0.89,0.8955223880597015,2670,293,330,bayes,0.7130727313460853
resnet50,BD-CSPN,5,5,6,0.8872666666666666,0.917766497461929,0.904,0.910831234256927,2712,243,288,bayes,0.7130727313460853
resnet50,TIM,5,5,6,0.8771333333333333,0.8968386023294509,0.8983333333333333,0.8975853455453788,2695,310,305,bayes,0.7130727313460853
