Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet18,Prototypical,6,1,6,0.5557222222222222,0.4261954261954262,0.205,0.27683997299122215,615,828,2385,bayes,0.6101439366850695
resnet18,Finetune,6,1,6,0.5585555555555556,0.4298245614035088,0.2776666666666667,0.33738355609558524,833,1105,2167,bayes,0.6101439366850695
resnet18,BD-CSPN,6,1,6,0.5695555555555556,0.8666666666666667,0.021666666666666667,0.04227642276422764,65,10,2935,bayes,0.6101439366850695
resnet18,TIM,6,1,6,0.5543333333333333,0.4608043626448534,0.22533333333333333,0.3026639802999776,676,791,2324,bayes,0.6101439366850695
resnet18,Prototypical,6,1,6,0.5537222222222222,0.45387453874538747,0.164,0.2409402546523017,492,592,2508,std,0.6014419297298161
resnet18,Finetune,6,1,6,0.5597222222222222,0.46902065289806794,0.23466666666666666,0.3128193734725616,704,797,2296,std,0.6014419297298161
resnet18,BD-CSPN,6,1,6,0.5685555555555556,0.8846153846153846,0.015333333333333332,0.03014416775884666,46,6,2954,std,0.6014419297298161
resnet18,TIM,6,1,6,0.5518888888888889,0.4931129476584022,0.179,0.2626559060895084,537,552,2463,std,0.6014419297298161
resnet18,Prototypical,6,5,6,0.7318333333333333,0.693069306930693,0.09333333333333334,0.1645123384253819,280,124,2720,bayes,0.668263770190571
resnet18,Finetune,6,5,6,0.7233888888888889,0.7176220806794055,0.11266666666666666,0.19475655430711608,338,133,2662,bayes,0.668263770190571
resnet18,BD-CSPN,6,5,6,0.7341111111111112,0.9307958477508651,0.08966666666666667,0.1635755548799027,269,20,2731,bayes,0.668263770190571
resnet18,TIM,6,5,6,0.7230555555555556,0.7284768211920529,0.11,0.1911381407471764,330,123,2670,bayes,0.668263770190571
resnet18,Prototypical,6,5,6,0.7291666666666666,0.6925566343042071,0.07133333333333333,0.1293442127530976,214,95,2786,std,0.661884815127164
resnet18,Finetune,6,5,6,0.7210555555555556,0.7291666666666666,0.09333333333333334,0.16548463356973994,280,104,2720,std,0.661884815127164
resnet18,BD-CSPN,6,5,6,0.732,0.9423868312757202,0.07633333333333334,0.14122725871107,229,14,2771,std,0.661884815127164
resnet18,TIM,6,5,6,0.7214444444444444,0.7554347826086957,0.09266666666666666,0.16508313539192399,278,90,2722,std,0.661884815127164
resnet34,Prototypical,6,1,6,0.5765555555555556,0.40058997050147493,0.22633333333333333,0.2892438764643237,679,1016,2321,bayes,0.6132192191288716
resnet34,Finetune,6,1,6,0.5765,0.4006337709370756,0.295,0.33979650604722594,885,1324,2115,bayes,0.6132192191288716
resnet34,BD-CSPN,6,1,6,0.6017222222222223,0.8021978021978022,0.024333333333333332,0.04723390488515043,73,18,2927,bayes,0.6132192191288716
resnet34,TIM,6,1,6,0.5712777777777778,0.40986301369863015,0.24933333333333332,0.31005181347150257,748,1077,2252,bayes,0.6132192191288716
resnet34,Prototypical,6,1,6,0.5756111111111111,0.4208400646203554,0.17366666666666666,0.24587069372345446,521,717,2479,std,0.604022795422737
resnet34,Finetune,6,1,6,0.5765555555555556,0.4296875,0.23833333333333334,0.3066037735849057,715,949,2285,std,0.604022795422737
resnet34,BD-CSPN,6,1,6,0.6005,0.8166666666666667,0.01633333333333333,0.03202614379084967,49,11,2951,std,0.604022795422737
resnet34,TIM,6,1,6,0.5713888888888888,0.44150110375275936,0.2,0.2752924982794219,600,759,2400,std,0.604022795422737
resnet34,Prototypical,6,5,6,0.7511111111111111,0.6299376299376299,0.101,0.17408790577420283,303,178,2697,bayes,0.6702484608050506
resnet34,Finetune,6,5,6,0.7457777777777778,0.6567944250871081,0.12566666666666668,0.2109681029658646,377,197,2623,bayes,0.6702484608050506
resnet34,BD-CSPN,6,5,6,0.7577222222222222,0.931758530183727,0.11833333333333333,0.20999704229517893,355,26,2645,bayes,0.6702484608050506
resnet34,TIM,6,5,6,0.744,0.6975524475524476,0.133,0.22340425531914895,399,173,2601,bayes,0.6702484608050506
resnet34,Prototypical,6,5,6,0.7495555555555555,0.670299727520436,0.082,0.14612414612414615,246,121,2754,std,0.6628678502621272
resnet34,Finetune,6,5,6,0.7425555555555555,0.671264367816092,0.09733333333333333,0.1700145560407569,292,143,2708,std,0.6628678502621272
resnet34,BD-CSPN,6,5,6,0.7539444444444444,0.934640522875817,0.09533333333333334,0.17301875378100426,286,20,2714,std,0.6628678502621272
resnet34,TIM,6,5,6,0.7414444444444445,0.7186813186813187,0.109,0.18929088277858178,327,128,2673,std,0.6628678502621272
resnet50,Prototypical,6,1,6,0.5527222222222222,0.37319711538461536,0.207,0.26629502572898794,621,1043,2379,bayes,0.6626325430899636
resnet50,Finetune,6,1,6,0.5548888888888889,0.37017472572125154,0.30366666666666664,0.33363852774217173,911,1550,2089,bayes,0.6626325430899636
resnet50,BD-CSPN,6,1,6,0.5817777777777777,0.7883211678832117,0.036,0.0688555945170545,108,29,2892,bayes,0.6626325430899636
resnet50,TIM,6,1,6,0.5383888888888889,0.37008797653958947,0.21033333333333334,0.2682252922422954,631,1074,2369,bayes,0.6626325430899636
resnet50,Prototypical,6,1,6,0.553,0.39146991622239147,0.17133333333333334,0.23834917690702528,514,799,2486,std,0.6548459326322065
resnet50,Finetune,6,1,6,0.5561666666666667,0.3893360160965795,0.258,0.31034482758620685,774,1214,2226,std,0.6548459326322065
resnet50,BD-CSPN,6,1,6,0.5807222222222223,0.8095238095238095,0.028333333333333332,0.05475040257648953,85,20,2915,std,0.6548459326322065
resnet50,TIM,6,1,6,0.5380555555555555,0.3910162002945508,0.177,0.2436897659476824,531,827,2469,std,0.6548459326322065
resnet50,Prototypical,6,5,6,0.7347222222222223,0.5425709515859767,0.10833333333333334,0.18060572381217002,325,274,2675,bayes,0.7130727313460853
resnet50,Finetune,6,5,6,0.7285555555555555,0.5703022339027596,0.14466666666666667,0.23078968359478866,434,327,2566,bayes,0.7130727313460853
resnet50,BD-CSPN,6,5,6,0.7488888888888889,0.8860103626943006,0.114,0.20200826934435911,342,44,2658,bayes,0.7130727313460853
resnet50,TIM,6,5,6,0.7312222222222222,0.6475155279503105,0.139,0.22886937431394072,417,227,2583,bayes,0.7130727313460853
resnet50,Prototypical,6,5,6,0.7343888888888889,0.5732758620689655,0.08866666666666667,0.1535796766743649,266,198,2734,std,0.7065979858801152
resnet50,Finetune,6,5,6,0.7276111111111111,0.5866013071895425,0.11966666666666667,0.19878183831672203,359,253,2641,std,0.7065979858801152
resnet50,BD-CSPN,6,5,6,0.7466666666666667,0.9076923076923077,0.09833333333333333,0.17744360902255638,295,30,2705,std,0.7065979858801152
resnet50,TIM,6,5,6,0.7304444444444445,0.6753246753246753,0.12133333333333333,0.20570782706979374,364,175,2636,std,0.7065979858801152
