Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet12,Prototypical,6,1,6,0.8744444444444445,0.6741176470588235,0.764,0.7162499999999999,2292,1108,708,bayes,0.654412936932769
resnet12,Finetune,6,1,6,0.8714444444444445,0.6744394618834081,0.752,0.711111111111111,2256,1089,744,bayes,0.654412936932769
resnet12,BD-CSPN,6,1,6,0.9167222222222222,0.8673989799921538,0.737,0.7969003424040366,2211,338,789,bayes,0.654412936932769
resnet12,TIM,6,1,6,0.8768333333333334,0.6788214702450408,0.7756666666666666,0.7240199128811451,2327,1101,673,bayes,0.654412936932769
resnet12,Prototypical,6,1,6,0.8698888888888889,0.6347982523772809,0.8233333333333334,0.7168770860542738,2470,1421,530,std,0.6866720828328245
resnet12,Finetune,6,1,6,0.8681666666666666,0.6374606505771249,0.81,0.7134468584850264,2430,1382,570,std,0.6866720828328245
resnet12,BD-CSPN,6,1,6,0.9221111111111111,0.84086926042762,0.7996666666666666,0.8197505552708013,2399,454,601,std,0.6866720828328245
resnet12,TIM,6,1,6,0.8726111111111111,0.6421025508889462,0.8306666666666667,0.7243133265513734,2492,1389,508,std,0.6866720828328245
resnet12,Prototypical,6,5,6,0.9311666666666667,0.8056446440025657,0.8373333333333334,0.8211833932657733,2512,606,488,bayes,0.7048959288362311
resnet12,Finetune,6,5,6,0.9338333333333333,0.8146247594611931,0.8466666666666667,0.8303367113435763,2540,578,460,bayes,0.7048959288362311
resnet12,BD-CSPN,6,5,6,0.9448333333333333,0.8676923076923077,0.846,0.8567088607594936,2538,387,462,bayes,0.7048959288362311
resnet12,TIM,6,5,6,0.9305555555555556,0.8105986261040236,0.826,0.8182268449727588,2478,579,522,bayes,0.7048959288362311
resnet12,Prototypical,6,5,6,0.9277222222222222,0.7606641855138849,0.8856666666666667,0.8184198367472663,2657,836,343,std,0.7383591336311995
resnet12,Finetune,6,5,6,0.9314444444444444,0.7709640616086708,0.901,0.8309252997233323,2703,803,297,std,0.7383591336311995
resnet12,BD-CSPN,6,5,6,0.9442777777777778,0.8346977329974811,0.8836666666666667,0.8584844559585493,2651,525,349,std,0.7383591336311995
resnet12,TIM,6,5,6,0.9275555555555556,0.7643811737361998,0.877,0.8168270723377834,2631,811,369,std,0.7383591336311995
