Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet18,Prototypical,5,1,6,0.7662,0.7733847637415622,0.802,0.787432498772705,2406,705,594,bayes,0.6654222287910864
resnet18,Finetune,5,1,6,0.7678666666666667,0.7514036182158453,0.803,0.7763454721237513,2409,797,591,bayes,0.6654222287910864
resnet18,BD-CSPN,5,1,6,0.8275333333333333,0.8238375900458416,0.8386666666666667,0.8311859927320779,2516,538,484,bayes,0.6654222287910864
resnet18,TIM,5,1,6,0.766,0.7667855984430749,0.788,0.7772480683873089,2364,719,636,bayes,0.6654222287910864
resnet18,Prototypical,5,5,6,0.9340666666666667,0.938646215405135,0.9383333333333334,0.9384897482913819,2815,184,185,bayes,0.7135964977400219
resnet18,Finetune,5,5,6,0.9384,0.9410596026490067,0.9473333333333334,0.944186046511628,2842,178,158,bayes,0.7135964977400219
resnet18,BD-CSPN,5,5,6,0.9437333333333333,0.9403034300791556,0.9503333333333334,0.9452917771883289,2851,181,149,bayes,0.7135964977400219
resnet18,TIM,5,5,6,0.9333333333333333,0.9358288770053476,0.9333333333333333,0.9345794392523364,2800,192,200,bayes,0.7135964977400219
resnet34,Prototypical,5,1,6,0.7738666666666667,0.7661264696536384,0.8036666666666666,0.7844476980640963,2411,736,589,bayes,0.6587210695124631
resnet34,Finetune,5,1,6,0.7731333333333333,0.7431796801505174,0.79,0.7658749394086284,2370,819,630,bayes,0.6587210695124631
resnet34,BD-CSPN,5,1,6,0.8334,0.8276762402088773,0.8453333333333334,0.8364116094986808,2536,528,464,bayes,0.6587210695124631
resnet34,TIM,5,1,6,0.7746,0.7555555555555555,0.7933333333333333,0.7739837398373983,2380,770,620,bayes,0.6587210695124631
resnet34,Prototypical,5,5,6,0.9386666666666666,0.9348684210526316,0.9473333333333334,0.9410596026490066,2842,198,158,bayes,0.7106525338979351
resnet34,Finetune,5,5,6,0.943,0.9360790774299835,0.947,0.9415078707539354,2841,194,159,bayes,0.7106525338979351
resnet34,BD-CSPN,5,5,6,0.9518666666666666,0.9459190444591904,0.9503333333333334,0.948121050881277,2851,163,149,bayes,0.7106525338979351
resnet34,TIM,5,5,6,0.938,0.9376666666666666,0.9376666666666666,0.9376666666666666,2813,187,187,bayes,0.7106525338979351
resnet50,Prototypical,5,1,6,0.7947333333333333,0.8030205655526992,0.833,0.8177356020942408,2499,613,501,bayes,0.7069376216406228
resnet50,Finetune,5,1,6,0.7882666666666667,0.7714464621164684,0.8213333333333334,0.7956086535356797,2464,730,536,bayes,0.7069376216406228
resnet50,BD-CSPN,5,1,6,0.8490666666666666,0.8493285293154275,0.8643333333333333,0.8567652403766728,2593,460,407,bayes,0.7069376216406228
resnet50,TIM,5,1,6,0.7897333333333333,0.7787695250239082,0.8143333333333334,0.7961544728694803,2443,694,557,bayes,0.7069376216406228
resnet50,Prototypical,5,5,6,0.9442666666666667,0.9464226289517471,0.948,0.947210657785179,2844,161,156,bayes,0.7495232144335582
resnet50,Finetune,5,5,6,0.9463333333333334,0.9424152681803225,0.9546666666666667,0.948501407517801,2864,175,136,bayes,0.7495232144335582
resnet50,BD-CSPN,5,5,6,0.9535333333333333,0.9511067063098778,0.9596666666666667,0.955367512858802,2879,148,121,bayes,0.7495232144335582
resnet50,TIM,5,5,6,0.9429333333333333,0.9451505016722408,0.942,0.9435726210350583,2826,164,174,bayes,0.7495232144335582
