Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet18,Prototypical,6,1,6,0.6377777777777778,0.33678756476683935,0.21666666666666667,0.26369168356997974,650,1280,2350,bayes,0.6654222287910864
resnet18,Finetune,6,1,6,0.6324444444444445,0.3570784490532011,0.264,0.3035645841318513,792,1426,2208,bayes,0.6654222287910864
resnet18,BD-CSPN,6,1,6,0.6845,0.5609756097560976,0.030666666666666665,0.05815423514538559,92,72,2908,bayes,0.6654222287910864
resnet18,TIM,6,1,6,0.6403333333333333,0.34572490706319703,0.217,0.26663936104853575,651,1232,2349,bayes,0.6654222287910864
resnet18,Prototypical,6,1,6,0.6345555555555555,0.3124560168895144,0.148,0.2008595340420719,444,977,2556,std,0.6549732267224113
resnet18,Finetune,6,1,6,0.6305,0.3432926829268293,0.18766666666666668,0.24267241379310342,563,1077,2437,std,0.6549732267224113
resnet18,BD-CSPN,6,1,6,0.6835,0.5526315789473685,0.021,0.04046242774566474,63,51,2937,std,0.6549732267224113
resnet18,TIM,6,1,6,0.6377222222222222,0.3309248554913295,0.15266666666666667,0.20894160583941607,458,926,2542,std,0.6549732267224113
resnet18,Prototypical,6,5,6,0.7781111111111111,0.41874084919472915,0.09533333333333334,0.15530817268531089,286,397,2714,bayes,0.7135964977400219
resnet18,Finetune,6,5,6,0.7847222222222222,0.4530120481927711,0.12533333333333332,0.19634464751958222,376,454,2624,bayes,0.7135964977400219
resnet18,BD-CSPN,6,5,6,0.7945,0.6918767507002801,0.08233333333333333,0.1471551980935359,247,110,2753,bayes,0.7135964977400219
resnet18,TIM,6,5,6,0.7831111111111111,0.44352617079889806,0.10733333333333334,0.1728395061728395,322,404,2678,bayes,0.7135964977400219
resnet18,Prototypical,6,5,6,0.7758333333333334,0.38312829525483305,0.07266666666666667,0.122163070888204,218,351,2782,std,0.707651552656182
resnet18,Finetune,6,5,6,0.7822222222222223,0.4302496328928047,0.09766666666666667,0.15919587068731322,293,388,2707,std,0.707651552656182
resnet18,BD-CSPN,6,5,6,0.7921666666666667,0.6724137931034483,0.065,0.11854103343465046,195,95,2805,std,0.707651552656182
resnet18,TIM,6,5,6,0.7811666666666667,0.42016806722689076,0.08333333333333333,0.13908205841446453,250,345,2750,std,0.707651552656182
resnet34,Prototypical,6,1,6,0.6385,0.32398753894080995,0.17333333333333334,0.22584147665580892,520,1085,2480,bayes,0.6587210695124631
resnet34,Finetune,6,1,6,0.6352777777777778,0.3179916317991632,0.20266666666666666,0.24755700325732896,608,1304,2392,bayes,0.6587210695124631
resnet34,BD-CSPN,6,1,6,0.6893888888888889,0.5527950310559007,0.029666666666666668,0.056311293894337235,89,72,2911,bayes,0.6587210695124631
resnet34,TIM,6,1,6,0.6402777777777777,0.31650029359953025,0.17966666666666667,0.22921539442908784,539,1164,2461,bayes,0.6587210695124631
resnet34,Prototypical,6,1,6,0.6368333333333334,0.3029513888888889,0.11633333333333333,0.16811175337186898,349,803,2651,std,0.6479836700608144
resnet34,Finetune,6,1,6,0.6362777777777778,0.3028953229398664,0.136,0.18771566597653555,408,939,2592,std,0.6479836700608144
resnet34,BD-CSPN,6,1,6,0.6882222222222222,0.5315315315315315,0.019666666666666666,0.03792992606878817,59,52,2941,std,0.6479836700608144
resnet34,TIM,6,1,6,0.6385,0.2998324958123953,0.11933333333333333,0.17072007629947544,358,836,2642,std,0.6479836700608144
resnet34,Prototypical,6,5,6,0.7861111111111111,0.421474358974359,0.08766666666666667,0.14514348785871967,263,361,2737,bayes,0.7106525338979351
resnet34,Finetune,6,5,6,0.787,0.44575163398692813,0.11366666666666667,0.1811420982735724,341,424,2659,bayes,0.7106525338979351
resnet34,BD-CSPN,6,5,6,0.7994444444444444,0.6234413965087282,0.08333333333333333,0.1470155836518671,250,151,2750,bayes,0.7106525338979351
resnet34,TIM,6,5,6,0.7883333333333333,0.4283667621776504,0.09966666666666667,0.1617090319091401,299,399,2701,bayes,0.7106525338979351
resnet34,Prototypical,6,5,6,0.7846111111111111,0.3988657844990548,0.07033333333333333,0.11958061773873618,211,318,2789,std,0.7050621275583606
resnet34,Finetune,6,5,6,0.7854444444444444,0.42924528301886794,0.091,0.15016501650165015,273,363,2727,std,0.7050621275583606
resnet34,BD-CSPN,6,5,6,0.7968888888888889,0.5914634146341463,0.06466666666666666,0.11658653846153846,194,134,2806,std,0.7050621275583606
resnet34,TIM,6,5,6,0.787,0.4044368600682594,0.079,0.13218070273285,237,349,2763,std,0.7050621275583606
resnet50,Prototypical,6,1,6,0.6587222222222222,0.3786008230452675,0.21466666666666667,0.27398425866836845,644,1057,2356,bayes,0.7069376216406228
resnet50,Finetune,6,1,6,0.6624444444444444,0.40221088435374147,0.31533333333333335,0.35351270553064273,946,1406,2054,bayes,0.7069376216406228
resnet50,BD-CSPN,6,1,6,0.6975555555555556,0.5112359550561798,0.030333333333333334,0.05726872246696035,91,87,2909,bayes,0.7069376216406228
resnet50,TIM,6,1,6,0.6658888888888889,0.3996655518394649,0.239,0.2991239048811014,717,1077,2283,bayes,0.7069376216406228
resnet50,Prototypical,6,1,6,0.6581111111111111,0.37731653076352856,0.16966666666666666,0.23407679926419867,509,840,2491,std,0.7002931532084467
resnet50,Finetune,6,1,6,0.6607777777777778,0.40224032586558045,0.2633333333333333,0.31829170024174047,790,1174,2210,std,0.7002931532084467
resnet50,BD-CSPN,6,1,6,0.696,0.45384615384615384,0.019666666666666666,0.03769968051118211,59,71,2941,std,0.7002931532084467
resnet50,TIM,6,1,6,0.6630555555555555,0.3931324456902593,0.187,0.253444770725096,561,866,2439,std,0.7002931532084467
resnet50,Prototypical,6,5,6,0.7928888888888889,0.5289115646258503,0.10366666666666667,0.17335562987736902,311,277,2689,bayes,0.7495232144335582
resnet50,Finetune,6,5,6,0.7975,0.5826558265582655,0.14333333333333334,0.2300695559122526,430,308,2570,bayes,0.7495232144335582
