Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet18,Prototypical,5,1,6,0.5502666666666667,0.6494054468738013,0.5643333333333334,0.6038879971464242,1693,914,1307,bayes,0.6757032049107142
resnet18,Finetune,5,1,6,0.5554666666666667,0.6664089679165056,0.5746666666666667,0.6171469482727762,1724,863,1276,bayes,0.6757032049107142
resnet18,BD-CSPN,5,1,6,0.5952,0.6784270488790886,0.6153333333333333,0.6453417234749168,1846,875,1154,bayes,0.6757032049107142
resnet18,TIM,5,1,6,0.5642,0.6641480921798262,0.586,0.6226314857446431,1758,889,1242,bayes,0.6757032049107142
resnet18,Prototypical,5,5,6,0.7061333333333333,0.7833690221270521,0.7316666666666667,0.756635642881765,2195,607,805,bayes,0.7303035128963022
resnet18,Finetune,5,5,6,0.6998,0.7632045373980858,0.7176666666666667,0.7397354406459371,2153,668,847,bayes,0.7303035128963022
resnet18,BD-CSPN,5,5,6,0.7232666666666666,0.8009308986752596,0.7456666666666667,0.7723114103228034,2237,556,763,bayes,0.7303035128963022
resnet18,TIM,5,5,6,0.7012666666666667,0.7636232407073259,0.7053333333333334,0.7333217813203949,2116,655,884,bayes,0.7303035128963022
resnet34,Prototypical,5,1,6,0.5262,0.6126292466765141,0.553,0.5812894183601962,1659,1049,1341,bayes,0.7248910095654687
resnet34,Finetune,5,1,6,0.5272,0.6088362068965517,0.565,0.5860995850622407,1695,1089,1305,bayes,0.7248910095654687
resnet34,BD-CSPN,5,1,6,0.5646,0.6531351939108373,0.6006666666666667,0.6258030908143775,1802,957,1198,bayes,0.7248910095654687
resnet34,TIM,5,1,6,0.5378666666666667,0.6260744985673352,0.5826666666666667,0.6035911602209945,1748,1044,1252,bayes,0.7248910095654687
resnet34,Prototypical,5,5,6,0.6715333333333333,0.7360281195079086,0.698,0.7165098374679212,2094,751,906,bayes,0.7685048516159775
resnet34,Finetune,5,5,6,0.6679333333333334,0.7243205082950935,0.684,0.7035830618892508,2052,781,948,bayes,0.7685048516159775
resnet34,BD-CSPN,5,5,6,0.6864,0.7499129223267155,0.7176666666666667,0.7334355305740078,2153,718,847,bayes,0.7685048516159775
resnet34,TIM,5,5,6,0.6663333333333333,0.7229848644843365,0.6846666666666666,0.7033042287279576,2054,787,946,bayes,0.7685048516159775
resnet50,Prototypical,5,1,6,0.4958666666666667,0.5716918540361223,0.517,0.5429721687379659,1551,1162,1449,bayes,0.7787724164543427
resnet50,Finetune,5,1,6,0.49273333333333336,0.5791872388909989,0.5083333333333333,0.5414521569323628,1525,1108,1475,bayes,0.7787724164543427
resnet50,BD-CSPN,5,1,6,0.5331333333333333,0.6171284634760705,0.5716666666666667,0.5935282920920574,1715,1064,1285,bayes,0.7787724164543427
resnet50,TIM,5,1,6,0.5048,0.5821868211440985,0.536,0.5581395348837209,1608,1154,1392,bayes,0.7787724164543427
resnet50,Prototypical,5,5,6,0.645,0.7071629213483146,0.6713333333333333,0.688782489740082,2014,834,986,bayes,0.8142273946993293
resnet50,Finetune,5,5,6,0.6343333333333333,0.7038365005378272,0.6543333333333333,0.6781827604076698,1963,826,1037,bayes,0.8142273946993293
resnet50,BD-CSPN,5,5,6,0.656,0.7210285311729482,0.6823333333333333,0.7011474567562939,2047,792,953,bayes,0.8142273946993293
resnet50,TIM,5,5,6,0.6380666666666667,0.6920014477017734,0.6373333333333333,0.6635432934235641,1912,851,1088,bayes,0.8142273946993293
