Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet18,Prototypical,6,1,6,0.486,0.600926538716082,0.30266666666666664,0.40257149190866764,908,603,2092,bayes,0.6757032049107142
resnet18,Finetune,6,1,6,0.49366666666666664,0.5891181988742964,0.314,0.4096542726679713,942,657,2058,bayes,0.6757032049107142
resnet18,BD-CSPN,6,1,6,0.5007777777777778,0.8267605633802817,0.19566666666666666,0.31644204851752017,587,123,2413,bayes,0.6757032049107142
resnet18,TIM,6,1,6,0.4886666666666667,0.6192959582790091,0.31666666666666665,0.41905602117335683,950,584,2050,bayes,0.6757032049107142
resnet18,Prototypical,6,1,6,0.48433333333333334,0.6116642958748222,0.2866666666666667,0.3903767589650477,860,546,2140,std,0.670694236703933
resnet18,Finetune,6,1,6,0.49272222222222223,0.6022880215343204,0.29833333333333334,0.39901917075345517,895,591,2105,std,0.670694236703933
resnet18,BD-CSPN,6,1,6,0.49966666666666665,0.8400597907324364,0.18733333333333332,0.3063505042245844,562,107,2438,std,0.670694236703933
resnet18,TIM,6,1,6,0.487,0.6277116864940517,0.299,0.40505757507338,897,532,2103,std,0.670694236703933
resnet18,Prototypical,6,5,6,0.6171111111111112,0.7902208201892744,0.334,0.46954076850984067,1002,266,1998,bayes,0.7303035128963022
resnet18,Finetune,6,5,6,0.6257222222222222,0.7861866274797943,0.3566666666666667,0.4907131391882596,1070,291,1930,bayes,0.7303035128963022
resnet18,BD-CSPN,6,5,6,0.6402777777777777,0.8941666666666667,0.3576666666666667,0.5109523809523809,1073,127,1927,bayes,0.7303035128963022
resnet18,TIM,6,5,6,0.631,0.8185840707964602,0.37,0.509641873278237,1110,246,1890,bayes,0.7303035128963022
resnet18,Prototypical,6,5,6,0.6162777777777778,0.792741935483871,0.32766666666666666,0.4636792452830188,983,257,2017,std,0.7286002870359156
resnet18,Finetune,6,5,6,0.6251111111111111,0.7877428998505231,0.35133333333333333,0.4859382203780544,1054,284,1946,std,0.7286002870359156
resnet18,BD-CSPN,6,5,6,0.6393888888888889,0.8950042337002541,0.35233333333333333,0.5056206649127003,1057,124,1943,std,0.7286002870359156
resnet18,TIM,6,5,6,0.6306666666666667,0.8228228228228228,0.36533333333333334,0.5060018467220683,1096,236,1904,std,0.7286002870359156
resnet34,Prototypical,6,1,6,0.45705555555555555,0.5303797468354431,0.2793333333333333,0.36593886462882097,838,742,2162,bayes,0.7248910095654687
resnet34,Finetune,6,1,6,0.45911111111111114,0.4920724801812005,0.2896666666666667,0.3646663869072598,869,897,2131,bayes,0.7248910095654687
resnet34,BD-CSPN,6,1,6,0.4687222222222222,0.7547892720306514,0.197,0.3124504361617764,591,192,2409,bayes,0.7248910095654687
resnet34,TIM,6,1,6,0.4575,0.5227142035652674,0.303,0.3836252373918549,909,830,2091,bayes,0.7248910095654687
resnet34,Prototypical,6,1,6,0.4567777777777778,0.5369649805447471,0.276,0.3645970937912814,828,714,2172,std,0.7232303770102833
resnet34,Finetune,6,1,6,0.4588888888888889,0.4982476635514019,0.2843333333333333,0.36205432937181664,853,859,2147,std,0.7232303770102833
resnet34,BD-CSPN,6,1,6,0.46794444444444444,0.7536041939711664,0.19166666666666668,0.3056072282753123,575,188,2425,std,0.7232303770102833
resnet34,TIM,6,1,6,0.4573888888888889,0.5283018867924528,0.2986666666666667,0.3816013628620102,896,800,2104,std,0.7232303770102833
resnet34,Prototypical,6,5,6,0.5836666666666667,0.751848808545604,0.305,0.4339577898980318,915,302,2085,bayes,0.7685048516159775
