ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,2,5,6,0.9961666666666666,0.8009452620443916,0.8985637031970504,0.041443777386345096,0.6661275414363864,0.07079663169767132,0.23243616176066395
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,3,5,6,0.9887777777777778,0.7996560239562827,0.8998017666085086,0.040198229038587226,0.6700526019059108,0.06968328202023277,0.22974916470259787
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,4,5,6,0.98375,0.7975976535135164,0.9000319300895523,0.039474868908689474,0.6677803384454913,0.07061726104146139,0.23225159164406095
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,5,5,6,0.9778666666666667,0.7963368238868391,0.9001826045743639,0.03902852285821451,0.6678625391544797,0.0711523689223958,0.23232006541988426
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,6,5,6,0.9723333333333334,0.7954826204389267,0.9002723130733269,0.03853141155678679,0.6687770481157842,0.07078024475244146,0.2314952649575427
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,7,5,6,0.9706666666666667,0.7927080019526817,0.900524907489563,0.03890605273497497,0.6677304004362387,0.06983377870480055,0.23279450705332438
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,8,5,6,0.9636666666666667,0.7938821573598607,0.9007918397805469,0.03783540398890137,0.6678843362991468,0.07038305061853511,0.2329075034814001
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,9,5,6,0.9629629629629629,0.7943235248994691,0.9015507843127617,0.037202148820006116,0.6670385126336836,0.07031951089735607,0.23451227167907807
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,10,5,6,0.9562333333333334,0.7928165003208753,0.9013937074695862,0.03752767487331199,0.6679467669766885,0.07052573929347893,0.23344694049289771
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,12,5,6,0.9508055555555556,0.7934550771929864,0.9021317193369467,0.03661712147397782,0.6673753793342574,0.07069181848124291,0.2347563400026893
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,14,5,6,0.9442857142857143,0.7930434622362857,0.902374162632771,0.03622296681196009,0.6674563767162812,0.07059758611820399,0.23491778591648982
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,16,5,6,0.938125,0.7941577237561505,0.9029173356809538,0.03537221613691737,0.6675640606753116,0.07056927189227644,0.23535327500564218
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,18,5,6,0.934537037037037,0.793681446529475,0.9033054760635566,0.03523929711776596,0.6669817739012661,0.07084645980921814,0.23632370216229048
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,20,5,6,0.9301,0.794261486543426,0.90371575739885,0.03479243579629178,0.6675345234706579,0.07091746523062789,0.23618123392819212
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,22,5,6,0.9242727272727272,0.7949432391298173,0.9041995361956888,0.03432724142753813,0.6676337769286022,0.07091997791959737,0.23656575926708667
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,24,5,6,0.9206944444444445,0.79552803561775,0.9046653940803884,0.033881125381058384,0.6672889972214803,0.07077245617332052,0.2373763968589081
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,26,5,6,0.9170769230769231,0.7961895987951765,0.9047707156707582,0.03340619236231173,0.6674158567379986,0.07093714792351642,0.23735485893275954
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,28,5,6,0.9121785714285714,0.7963681185762181,0.9050127177119416,0.0331776083752166,0.6677337866257532,0.07080206705184908,0.23727893108618836
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,30,5,6,0.9087777777777778,0.7960896890032864,0.9052985078410482,0.03312165357138616,0.6672161497676302,0.07084812245926583,0.23808235807341793
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,32,5,6,0.9041666666666667,0.79687173227642,0.9056202351023799,0.0327417066245312,0.6676389179986468,0.07083433219546331,0.23798131710373305
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,34,5,6,0.9018921568627452,0.7970525552800805,0.9059340492367619,0.032539395115360754,0.6669720779669686,0.07091235719770483,0.23896197126979335
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,36,5,6,0.8988148148148148,0.7978536646109927,0.906050551397803,0.03213959084765146,0.667534528079003,0.07094458530786035,0.23851602331879995
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,38,5,6,0.8947368421052632,0.7976102785639021,0.9063265647496663,0.03213381094672386,0.667280539019364,0.07089130423969858,0.23904602573030231
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,40,5,6,0.88995,0.7982851026817447,0.9065327176654228,0.03178200458387638,0.6672545306280547,0.0708415592789812,0.23927818703736803
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,42,5,6,0.8871190476190476,0.7982526113086664,0.9067456288453187,0.031700673794582135,0.6669136755590692,0.07088666225876908,0.2398319532862495
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,44,5,6,0.8855075757575758,0.798495952885739,0.9068611139759053,0.03154648753408892,0.6672376798997856,0.07096893874076803,0.23962343407611975
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,46,5,6,0.8835434782608695,0.7992150399241708,0.9070736343091826,0.031234198744044813,0.6675036698061149,0.07094059268768502,0.23956996450306778
modelsFinalPreAdv,Resnet18_euMoths_episodic_10_1130_190228_AdvLoss.pth,Prototypical,48,5,6,0.8805694444444444,0.7990891888086357,0.9071998101217423,0.031169264245838182,0.6670901166203514,0.07089888682148626,0.2401096935013909
