ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,2,5,10,0.9945,0.8297281492595654,0.9419531180817857,0.04461766117584628,0.5498851760390298,0.1441778077600471,0.39206794204275597
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,3,5,10,0.9932666666666666,0.8318756130326973,0.9424623785678856,0.04165668431684136,0.5592442331314927,0.14340952847421096,0.3832181454363929
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,4,5,10,0.99015,0.831071929717141,0.9432033742656433,0.04008488419281439,0.5578640227851341,0.14013477598755292,0.38533935148050913
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,5,5,10,0.98792,0.8299968363321646,0.9435867024646692,0.03975308750798064,0.5579989534758314,0.14191995533479865,0.38558774898883785
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,6,5,10,0.9858333333333333,0.8277522638857718,0.9432068168119364,0.039396208573647916,0.5543353860035652,0.14166253861323466,0.38887143080837117
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,7,5,10,0.9848,0.827942074186237,0.9437687638150548,0.03899900789684357,0.5580254522601172,0.14146485718449564,0.3857433115549376
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,8,5,10,0.981325,0.8285480150711746,0.9446473984439774,0.03844832899976227,0.5581093959036318,0.14142253687159054,0.38653800254034554
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,9,5,10,0.9800888888888889,0.8279551511950691,0.9443139235656144,0.03822449803940726,0.5594993607678197,0.1423348111955657,0.3848145627977947
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,10,5,10,0.9782,0.8267700263138987,0.944265107568898,0.038203905569467574,0.559090018685661,0.14230372274028272,0.38517508888323704
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,12,5,10,0.9739666666666666,0.8290577462804749,0.9451247333986623,0.036761239507440036,0.5587895606856822,0.14143683106554217,0.3863351727129801
