ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween,Seed
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,5,5,10,0.93972,0.8039287456761083,0.8883957278579809,0.03349330640068434,0.6968951802971121,0.06878188561423232,0.19150054756086887,0
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,5,5,10,0.93784,0.8047729103227169,0.8884168207609825,0.033215632667717085,0.6990721804510659,0.0681820991174914,0.1893446403099166,2
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,5,5,10,0.93484,0.8045059586715905,0.8883638398560902,0.033455252848383916,0.6993628229621842,0.06866018612219012,0.18900101689390603,3
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,5,5,10,0.93844,0.8045178122605673,0.88797440237363,0.03306185226247532,0.698123078678167,0.06828474637403961,0.18985132369546298,5
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,5,5,10,0.93996,0.804508301282126,0.8882541253549595,0.03327020008996085,0.6989614922123527,0.06812352405255523,0.1892926331426068,7
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,10,5,10,0.88444,0.8040390157263053,0.8909559029463937,0.031299184181559456,0.6994730362426291,0.06863305583569453,0.19148286670376458,0
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,10,5,10,0.88638,0.8044255030351467,0.8908491608640283,0.030940012098096503,0.6992687327812903,0.06767420549590254,0.191580428082738,2
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,10,5,10,0.88256,0.8045109090107545,0.8910050032061996,0.031056861450042435,0.6994513331342679,0.06835471925706837,0.1915536700719317,3
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,10,5,10,0.87678,0.8048631872223795,0.8909217098876914,0.03090983177142694,0.6986649030022516,0.06947447029846991,0.19225680688543978,5
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,10,5,10,0.87978,0.8050592711749003,0.8912131732024896,0.030864501856372156,0.6988652042932046,0.06875494783654838,0.19234796890928496,7
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,20,5,10,0.79959,0.8081974319330578,0.8947269319474177,0.028319404876587215,0.7000907862433157,0.0690138609495242,0.19463614570410204,0
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,20,5,10,0.80157,0.808245469936956,0.8946857175654869,0.028256298012865604,0.6995812728131671,0.06910462780910308,0.1951044447523198,2
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,20,5,10,0.79758,0.8081736688027121,0.8946884743081444,0.0282965989189163,0.699956099078001,0.0689078225344353,0.1947323752301433,3
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,20,5,10,0.79839,0.8079776365143592,0.8947895421543312,0.028425288185298027,0.6999386085821578,0.0690499342478186,0.1948509335721733,5
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,20,5,10,0.79955,0.8081788262662278,0.8947588172417242,0.0283183077334787,0.6998457716472588,0.0689911151992701,0.19491304559446543,7
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,29,5,10,0.7450206896551724,0.8107795357525999,0.8969618906413374,0.026915053787989668,0.6995614946431759,0.06935175261582593,0.1974003959981615,0
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,29,5,10,0.7452689655172414,0.8107590808841703,0.8970894040586744,0.026978338526321574,0.6998215619082406,0.0693125091461382,0.1972678421504338,2
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,29,5,10,0.7435310344827586,0.8108732035269834,0.8971240047778826,0.02696478124343488,0.6999866255910926,0.06942602345119793,0.19713737918678997,3
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,29,5,10,0.7425586206896552,0.810500368901694,0.897050690233429,0.027064340082639103,0.6996767516187633,0.06939035155477612,0.19737393861466568,5
modelsAlphaCUB,Resnet18_CUB_episodic_10_1205_100923_AdvLoss.pth,Prototypical,29,5,10,0.744351724137931,0.8109368720699796,0.8969291826435483,0.026867155133305096,0.6999269476614042,0.06936696899518563,0.1970022349821441,7
