ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween,Seed
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,5,5,10,0.78904,0.741228333006724,0.8656623222807848,0.056785597345609756,0.6328654703390014,0.11664347173388073,0.23279685194178334,0
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,5,5,10,0.78752,0.7432042538363376,0.8668557712940703,0.05629727051327393,0.6337528028614344,0.11721053987795192,0.2331029684326359,2
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,5,5,10,0.78264,0.7420201291096084,0.866478480024717,0.05673673882902858,0.6329775780361695,0.11688892459204535,0.23350090198854745,3
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,5,5,10,0.78652,0.7419333176836026,0.865738755957748,0.05628553152016126,0.6317472429444478,0.1168949441515367,0.23399151301330012,5
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,5,5,10,0.7778,0.7434990057554282,0.8673457771256149,0.056422123556247115,0.6341414362828203,0.11759954864432136,0.23320434084279462,7
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,10,5,10,0.65888,0.7471582127143196,0.8752215332711217,0.05066681160731146,0.6326308340300805,0.11854597476531151,0.24259069924104126,0
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,10,5,10,0.64872,0.7474756540308065,0.8755245076285468,0.05078497594886337,0.6345198475228396,0.1190401086315531,0.2410046601057072,2
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,10,5,10,0.65166,0.747573395162619,0.8757646615687492,0.05076210602825185,0.6334960965564572,0.11883151950382687,0.242268565012292,3
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,10,5,10,0.6571,0.748215796924992,0.8759544221710132,0.05043421462135278,0.6321129445231306,0.11907452001455475,0.24384147764788255,5
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,10,5,10,0.6519,0.7489255537745637,0.8758096548234197,0.05010772469782387,0.633489481848184,0.11885839666015119,0.24232017297523567,7
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,15,5,10,0.5717466666666666,0.7541255486863669,0.8824968706432534,0.04730981795759122,0.6329277040847665,0.12050116668509701,0.24956916655848693,0
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,15,5,10,0.5735333333333333,0.7542316129089143,0.8821609875067548,0.04713308046374716,0.6332326337370479,0.12004253079798598,0.2489283537697069,2
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,15,5,10,0.57272,0.7539552918208529,0.8821871344890098,0.04722725391796292,0.6323787163766401,0.12031111698147195,0.24980841811236965,3
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,15,5,10,0.56976,0.7543926069889176,0.8824697660030658,0.04717682930402142,0.6329552419739467,0.12040131256452352,0.2495145240291191,5
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,15,5,10,0.5744133333333333,0.753270359291896,0.8815363469414054,0.04730565945997106,0.6329478943422929,0.12005834013961623,0.24858845259911244,7
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,19,5,10,0.5246631578947368,0.7572433514800441,0.8855348279813251,0.04555336901869293,0.6324000906566699,0.12087502855116201,0.2531347373246552,0
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,19,5,10,0.5231263157894737,0.7568151700175403,0.8855958364666003,0.04577603281769551,0.6327606050837068,0.12072765338661438,0.25283523138289354,2
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,19,5,10,0.5230631578947369,0.7574546799045025,0.885881196780582,0.04558372334747406,0.6320574215516235,0.12115958304013812,0.2538237752289585,3
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,19,5,10,0.5252631578947369,0.7571322456102311,0.88546947126637,0.04557321299215084,0.6324479161767632,0.1206725721766593,0.2530215550896068,5
modelsAlphaMiniImageNet,Resnet18_mini_imagenet_episodic_1_1202_065338_AdvLoss.pth,Prototypical,19,5,10,0.5254842105263158,0.7576989081180696,0.8857106162422335,0.04542331073312704,0.6322991941565765,0.12104953562659153,0.2534114220856569,7
